Country,Date,Confirmed
Africa Western and Central,1970-01-01 00:00:00.000001992,217966101.0
Africa Western and Central,1970-01-01 00:00:00.000001991,212172888.0
Africa Western and Central,1970-01-01 00:00:00.000001990,206739024.0
Africa Western and Central,1970-01-01 00:00:00.000001989,201392200.0
Africa Western and Central,1970-01-01 00:00:00.000001988,195969722.0
Africa Western and Central,1970-01-01 00:00:00.000001987,190759952.0
Africa Western and Central,1970-01-01 00:00:00.000001986,185720244.0
Africa Western and Central,1970-01-01 00:00:00.000001985,180817312.0
Africa Western and Central,1970-01-01 00:00:00.000001984,176054495.0
Africa Western and Central,1970-01-01 00:00:00.000001983,171566640.0
Africa Western and Central,1970-01-01 00:00:00.000001982,167023385.0
Africa Western and Central,1970-01-01 00:00:00.000001981,162323313.0
Africa Western and Central,1970-01-01 00:00:00.000001980,157825609.0
Africa Western and Central,1970-01-01 00:00:00.000001979,153459665.0
Africa Western and Central,1970-01-01 00:00:00.000001978,149206663.0
Africa Western and Central,1970-01-01 00:00:00.000001977,145122851.0
Africa Western and Central,1970-01-01 00:00:00.000001976,141258400.0
Africa Western and Central,1970-01-01 00:00:00.000001975,137548613.0
Africa Western and Central,1970-01-01 00:00:00.000001974,133953892.0
Africa Western and Central,1970-01-01 00:00:00.000001973,130563107.0
Africa Western and Central,1970-01-01 00:00:00.000001972,127364044.0
Africa Western and Central,1970-01-01 00:00:00.000001971,124336039.0
Africa Western and Central,1970-01-01 00:00:00.000001970,121424797.0
Africa Western and Central,1970-01-01 00:00:00.000001969,118615741.0
Africa Western and Central,1970-01-01 00:00:00.000001968,115921723.0
Africa Western and Central,1970-01-01 00:00:00.000001967,113319950.0
Africa Western and Central,1970-01-01 00:00:00.000001966,110798486.0
Africa Western and Central,1970-01-01 00:00:00.000001965,108336203.0
Africa Western and Central,1970-01-01 00:00:00.000001964,105959979.0
Africa Western and Central,1970-01-01 00:00:00.000001963,103667517.0
Africa Western and Central,1970-01-01 00:00:00.000001962,101445032.0
Africa Western and Central,1970-01-01 00:00:00.000001961,99314028.0
Africa Western and Central,1970-01-01 00:00:00.000001960,97256290.0
Arab World,1970-01-01 00:00:00.000002022,464684914.0
Arab World,1970-01-01 00:00:00.000002021,456520777.0
Arab World,1970-01-01 00:00:00.000002020,449228296.0
Arab World,1970-01-01 00:00:00.000002019,441467739.0
Arab World,1970-01-01 00:00:00.000002018,432545676.0
Arab World,1970-01-01 00:00:00.000002017,423664839.0
Arab World,1970-01-01 00:00:00.000002016,415077960.0
Arab World,1970-01-01 00:00:00.000002015,406501999.0
Arab World,1970-01-01 00:00:00.000002014,397922915.0
Arab World,1970-01-01 00:00:00.000002013,389131555.0
Arab World,1970-01-01 00:00:00.000002012,380383408.0
Arab World,1970-01-01 00:00:00.000002011,372351065.0
Arab World,1970-01-01 00:00:00.000002010,364427661.0
Arab World,1970-01-01 00:00:00.000002009,355754908.0
Arab World,1970-01-01 00:00:00.000002008,346630443.0
Arab World,1970-01-01 00:00:00.000002007,337498222.0
Arab World,1970-01-01 00:00:00.000002006,328703057.0
Arab World,1970-01-01 00:00:00.000002005,320558754.0
Arab World,1970-01-01 00:00:00.000002004,313249616.0
Arab World,1970-01-01 00:00:00.000002003,306573087.0
Arab World,1970-01-01 00:00:00.000002002,300018650.0
Arab World,1970-01-01 00:00:00.000002001,293512340.0
Arab World,1970-01-01 00:00:00.000002000,287065982.0
Arab World,1970-01-01 00:00:00.000001999,280650496.0
Arab World,1970-01-01 00:00:00.000001998,274376380.0
Arab World,1970-01-01 00:00:00.000001997,268158920.0
Arab World,1970-01-01 00:00:00.000001996,261953764.0
Arab World,1970-01-01 00:00:00.000001995,255803349.0
Arab World,1970-01-01 00:00:00.000001994,249596194.0
Arab World,1970-01-01 00:00:00.000001993,242994250.0
Arab World,1970-01-01 00:00:00.000001992,236598334.0
Arab World,1970-01-01 00:00:00.000001991,230837072.0
Arab World,1970-01-01 00:00:00.000001990,225923327.0
Arab World,1970-01-01 00:00:00.000001989,219021375.0
Arab World,1970-01-01 00:00:00.000001988,213455083.0
Arab World,1970-01-01 00:00:00.000001987,207894127.0
Arab World,1970-01-01 00:00:00.000001986,201916517.0
Arab World,1970-01-01 00:00:00.000001985,195956917.0
Arab World,1970-01-01 00:00:00.000001984,190162096.0
Arab World,1970-01-01 00:00:00.000001983,184342569.0
Arab World,1970-01-01 00:00:00.000001982,178587926.0
Arab World,1970-01-01 00:00:00.000001981,173118753.0
Arab World,1970-01-01 00:00:00.000001980,167707208.0
Arab World,1970-01-01 00:00:00.000001979,162014425.0
Arab World,1970-01-01 00:00:00.000001978,156741680.0
Arab World,1970-01-01 00:00:00.000001977,151960544.0
Arab World,1970-01-01 00:00:00.000001976,146815543.0
Arab World,1970-01-01 00:00:00.000001975,141756318.0
Arab World,1970-01-01 00:00:00.000001974,137372356.0
Arab World,1970-01-01 00:00:00.000001973,133384981.0
Arab World,1970-01-01 00:00:00.000001972,129605560.0
Arab World,1970-01-01 00:00:00.000001971,125979765.0
Arab World,1970-01-01 00:00:00.000001970,122475578.0
Arab World,1970-01-01 00:00:00.000001969,119061868.0
Arab World,1970-01-01 00:00:00.000001968,115729597.0
Arab World,1970-01-01 00:00:00.000001967,112499764.0
Arab World,1970-01-01 00:00:00.000001966,109394536.0
Arab World,1970-01-01 00:00:00.000001965,106444103.0
Arab World,1970-01-01 00:00:00.000001964,103618568.0
Arab World,1970-01-01 00:00:00.000001963,100892507.0
Arab World,1970-01-01 00:00:00.000001962,98268683.0
Arab World,1970-01-01 00:00:00.000001961,95760348.0
Arab World,1970-01-01 00:00:00.000001960,93359407.0
Caribbean small states,1970-01-01 00:00:00.000002022,7505478.0
Caribbean small states,1970-01-01 00:00:00.000002021,7481877.0
Caribbean small states,1970-01-01 00:00:00.000002020,7444768.0
Caribbean small states,1970-01-01 00:00:00.000002019,7424102.0
Caribbean small states,1970-01-01 00:00:00.000002018,7374650.0
Caribbean small states,1970-01-01 00:00:00.000002017,7303634.0
Caribbean small states,1970-01-01 00:00:00.000002016,7265272.0
Caribbean small states,1970-01-01 00:00:00.000002015,7224602.0
Caribbean small states,1970-01-01 00:00:00.000002014,7181044.0
Caribbean small states,1970-01-01 00:00:00.000002013,7135884.0
Caribbean small states,1970-01-01 00:00:00.000002012,7088996.0
Caribbean small states,1970-01-01 00:00:00.000002011,7044357.0
Caribbean small states,1970-01-01 00:00:00.000002010,7004428.0
Caribbean small states,1970-01-01 00:00:00.000002009,6964240.0
Caribbean small states,1970-01-01 00:00:00.000002008,6923924.0
Caribbean small states,1970-01-01 00:00:00.000002007,6884705.0
Caribbean small states,1970-01-01 00:00:00.000002006,6844183.0
Caribbean small states,1970-01-01 00:00:00.000002005,6802474.0
Caribbean small states,1970-01-01 00:00:00.000002004,6760372.0
Caribbean small states,1970-01-01 00:00:00.000002003,6716747.0
Caribbean small states,1970-01-01 00:00:00.000002002,6671842.0
Caribbean small states,1970-01-01 00:00:00.000002001,6626803.0
Caribbean small states,1970-01-01 00:00:00.000002000,6582141.0
Caribbean small states,1970-01-01 00:00:00.000001999,6535399.0
Caribbean small states,1970-01-01 00:00:00.000001998,6484492.0
Caribbean small states,1970-01-01 00:00:00.000001997,6430969.0
Caribbean small states,1970-01-01 00:00:00.000001996,6376465.0
Caribbean small states,1970-01-01 00:00:00.000001995,6319517.0
Caribbean small states,1970-01-01 00:00:00.000001994,6261744.0
Caribbean small states,1970-01-01 00:00:00.000001993,6206775.0
Caribbean small states,1970-01-01 00:00:00.000001992,6152432.0
Caribbean small states,1970-01-01 00:00:00.000001991,6100213.0
Caribbean small states,1970-01-01 00:00:00.000001990,6057836.0
Caribbean small states,1970-01-01 00:00:00.000001989,6020383.0
Caribbean small states,1970-01-01 00:00:00.000001988,5980371.0
Caribbean small states,1970-01-01 00:00:00.000001987,5939439.0
Caribbean small states,1970-01-01 00:00:00.000001986,5894393.0
Caribbean small states,1970-01-01 00:00:00.000001985,5841960.0
Caribbean small states,1970-01-01 00:00:00.000001984,5785882.0
Caribbean small states,1970-01-01 00:00:00.000001983,5727558.0
Caribbean small states,1970-01-01 00:00:00.000001982,5666254.0
Caribbean small states,1970-01-01 00:00:00.000001981,5604584.0
Caribbean small states,1970-01-01 00:00:00.000001980,5544061.0
Caribbean small states,1970-01-01 00:00:00.000001979,5486916.0
Caribbean small states,1970-01-01 00:00:00.000001978,5432222.0
Caribbean small states,1970-01-01 00:00:00.000001977,5377263.0
Caribbean small states,1970-01-01 00:00:00.000001976,5322281.0
Caribbean small states,1970-01-01 00:00:00.000001975,5266374.0
Caribbean small states,1970-01-01 00:00:00.000001974,5208944.0
Caribbean small states,1970-01-01 00:00:00.000001973,5150123.0
Caribbean small states,1970-01-01 00:00:00.000001972,5090052.0
Caribbean small states,1970-01-01 00:00:00.000001971,5023876.0
Caribbean small states,1970-01-01 00:00:00.000001970,4953314.0
Caribbean small states,1970-01-01 00:00:00.000001969,4883868.0
Caribbean small states,1970-01-01 00:00:00.000001968,4813958.0
Caribbean small states,1970-01-01 00:00:00.000001967,4743053.0
Caribbean small states,1970-01-01 00:00:00.000001966,4670465.0
Caribbean small states,1970-01-01 00:00:00.000001965,4596245.0
Caribbean small states,1970-01-01 00:00:00.000001964,4520592.0
Caribbean small states,1970-01-01 00:00:00.000001963,4443544.0
Caribbean small states,1970-01-01 00:00:00.000001962,4366420.0
Caribbean small states,1970-01-01 00:00:00.000001961,4289429.0
Caribbean small states,1970-01-01 00:00:00.000001960,4209141.0
Central Europe and the Baltics,1970-01-01 00:00:00.000002022,100108221.0
Central Europe and the Baltics,1970-01-01 00:00:00.000002021,101413176.0
Central Europe and the Baltics,1970-01-01 00:00:00.000002020,102180124.0
Central Europe and the Baltics,1970-01-01 00:00:00.000002019,102398537.0
Central Europe and the Baltics,1970-01-01 00:00:00.000002018,102538451.0
Central Europe and the Baltics,1970-01-01 00:00:00.000002017,102740078.0
Central Europe and the Baltics,1970-01-01 00:00:00.000002016,102994278.0
Central Europe and the Baltics,1970-01-01 00:00:00.000002015,103257886.0
Central Europe and the Baltics,1970-01-01 00:00:00.000002014,103496179.0
Central Europe and the Baltics,1970-01-01 00:00:00.000002013,103713726.0
Central Europe and the Baltics,1970-01-01 00:00:00.000002012,103935318.0
Central Europe and the Baltics,1970-01-01 00:00:00.000002011,104174038.0
Central Europe and the Baltics,1970-01-01 00:00:00.000002010,104421447.0
Central Europe and the Baltics,1970-01-01 00:00:00.000002009,104800475.0
Central Europe and the Baltics,1970-01-01 00:00:00.000002008,105001883.0
